FamilyName,CommonName,LatinName,Review,Evidence,
Ducks, Geese, and Swans (Anatidae),Lesser Scaup,Aythya affinis,,S,
Ducks, Geese, and Swans (Anatidae),Harlequin Duck,Histrionicus histrionicus,X,S,
Ducks, Geese, and Swans (Anatidae),Surf Scoter,Melanitta perspicillata,,S,
Ducks, Geese, and Swans (Anatidae),White-winged Scoter,Melanitta deglandi,,S,
Ducks, Geese, and Swans (Anatidae),Black Scoter,Melanitta americana,,S,
Ducks, Geese, and Swans (Anatidae),Long-tailed Duck,Clangula hyemalis,,S,
Ducks, Geese, and Swans (Anatidae),Bufflehead,Bucephala albeola,,S,
Ducks, Geese, and Swans (Anatidae),Common Goldeneye,Bucephala clangula,,S,
Ducks, Geese, and Swans (Anatidae),Barrow's Goldeneye,Bucephala islandica,,S,
Ducks, Geese, and Swans (Anatidae),Hooded Merganser,Lophodytes cucullatus,,S,
Ducks, Geese, and Swans (Anatidae),Common Merganser,Mergus merganser,,S,
Ducks, Geese, and Swans (Anatidae),Red-breasted Merganser,Mergus serrator,,S,
Ducks, Geese, and Swans (Anatidae),Ruddy Duck,Oxyura jamaicensis,,S,
New World Quail (Odontophoridae),Northern Bobwhite,Colinus virginianus,,S,
New World Quail (Odontophoridae),Scaled Quail,Callipepla squamata,,S,
New World Quail (Odontophoridae),California Quail,Callipepla californica,X,P,
New World Quail (Odontophoridae),Gambel's Quail,Callipepla gambelii,,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),Wild Turkey,Meleagris gallopavo,,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),Ruffed Grouse,Bonasa umbellus,X,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),White-tailed Ptarmigan,Lagopus leucura,,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),Greater Sage-Grouse,Centrocercus urophasianus,,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),Gunnison Sage-Grouse,Centrocercus minimus,,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),Dusky Grouse,Dendragapus obscurus,,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),Sharp-tailed Grouse,Tympanuchus phasianellus,,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),Greater Prairie-Chicken,Tympanuchus cupido,,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),Lesser Prairie-Chicken,Tympanuchus pallidicinctus,,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),Ring-necked Pheasant,Phasianus colchicus,,S,
Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae),Chukar,Alectoris chukar,,S,
Grebes (Podicipedidae),Pied-billed Grebe,Podilymbus podiceps,,S,
Grebes (Podicipedidae),Horned Grebe,Podiceps auritus,,S,
Grebes (Podicipedidae),Red-necked Grebe,Podiceps grisegena,,S,
Grebes (Podicipedidae),Eared Grebe,Podiceps nigricollis,,S,
Grebes (Podicipedidae),Western Grebe,Aechmophorus occidentalis,,S,
Grebes (Podicipedidae),Clark's Grebe,Aechmophorus clarkii,,S,
Pigeons and Doves (Columbidae),Rock Pigeon,Columba livia,,S,
Pigeons and Doves (Columbidae),Band-tailed Pigeon,Patagioenas fasciata,,S,
Pigeons and Doves (Columbidae),Eurasian Collared-Dove,Streptopelia decaocto,,P,
Pigeons and Doves (Columbidae),Inca Dove,Columbina inca,X,P,
Pigeons and Doves (Columbidae),Common Ground Dove,Columbina passerina,X,P,
Pigeons and Doves (Columbidae),Ruddy Ground Dove,Columbina talpacoti,X,P,
Pigeons and Doves (Columbidae),White-winged Dove,Zenaida asiatica,,S,
Pigeons and Doves (Columbidae),Mourning Dove,Zenaida macroura,,S,
Cuckoos, Roadrunners, and Anis (Cuculidae),Groove-billed Ani,Crotophaga sulcirostris,X,S,
Cuckoos, Roadrunners, and Anis (Cuculidae),Greater Roadrunner,Geococcyx californianus,,S,
Cuckoos, Roadrunners, and Anis (Cuculidae),Yellow-billed Cuckoo,Coccyzus americanus,,S,
Cuckoos, Roadrunners, and Anis (Cuculidae),Black-billed Cuckoo,Coccyzus erythropthalmus,X,S,
Goatsuckers (Caprimulgidae),Lesser Nighthawk,Chordeiles acutipennis,,S,
Goatsuckers (Caprimulgidae),Common Nighthawk,Chordeiles minor,,S,
Goatsuckers (Caprimulgidae),Common Poorwill,Phalaenoptilus nuttallii,,S,
Goatsuckers (Caprimulgidae),Eastern Whip-poor-will,Antrostomus vociferus,X,S,
Goatsuckers (Caprimulgidae),Mexican Whip-poor-will,Antrostomus arizonae,X,R,
Swifts (Apodidae),Black Swift,Cypseloides niger,,S,
Swifts (Apodidae),Chimney Swift,Chaetura pelagica,,S,
Swifts (Apodidae),Vaux's Swift,Chaetura vauxi,X,P,
Swifts (Apodidae),White-throated Swift,Aeronautes saxatalis,,S,
Hummingbirds (Trochilidae),Mexican Violetear,Colibri thalassinus,X,P,
Hummingbirds (Trochilidae),Rivoli’s Hummingbird,Eugenes fulgens,X,S,
Hummingbirds (Trochilidae),Blue-throated Mountain-gem,Lampornis clemenciae,X,P,
Hummingbirds (Trochilidae),Ruby-throated Hummingbird,Archilochus colubris,X,P,
Hummingbirds (Trochilidae),Black-chinned Hummingbird,Archilochus alexandri,,S,
Hummingbirds (Trochilidae),Anna's Hummingbird,Calypte anna,X,P,
Hummingbirds (Trochilidae),Costa's Hummingbird,Calypte costae,X,P,
Hummingbirds (Trochilidae),Calliope Hummingbird,Selasphorus calliope,,S,
Hummingbirds (Trochilidae),Rufous Hummingbird,Selasphorus rufus,,S,
Hummingbirds (Trochilidae),Broad-tailed Hummingbird,Selasphorus platycercus,,S,
Hummingbirds (Trochilidae),Broad-billed Hummingbird,Cynanthus latirostris,X,P,
Hummingbirds (Trochilidae),White-eared Hummingbird,Hylocharis leucotis,X,P,
Rails, Gallinules, and Coots (Rallidae),King Rail,Rallus elegans,X,P,
Rails, Gallinules, and Coots (Rallidae),Virginia Rail,Rallus limicola,,S,
Rails, Gallinules, and Coots (Rallidae),Sora,Porzana carolina,,S,
Rails, Gallinules, and Coots (Rallidae),Common Gallinule,Gallinula galeata,X,P,
Rails, Gallinules, and Coots (Rallidae),American Coot,Fulica americana,,S,
Rails, Gallinules, and Coots (Rallidae),Purple Gallinule,Porphyrio martinicus,X,S,
Rails, Gallinules, and Coots (Rallidae),Yellow Rail,Coturnicops noveboracensis,X,S,
Rails, Gallinules, and Coots (Rallidae),Black Rail,Laterallus jamaicensis,,R,
Limpkin (Aramidae),Limpkin,Aramus guarauna,X,P,
Cranes (Gruidae),Sandhill Crane,Antigone canadensis,,S,
Cranes (Gruidae),Whooping Crane,Grus americana,X,S,
Stilts and Avocets (Recurvirostridae),Black-necked Stilt,Himantopus mexicanus,,S,
Stilts and Avocets (Recurvirostridae),American Avocet,Recurvirostra americana,,S,
Lapwings and Plovers (Charadriidae),Black-bellied Plover,Pluvialis squatarola,,S,
Lapwings and Plovers (Charadriidae),American Golden-Plover,Pluvialis dominica,,S,
Lapwings and Plovers (Charadriidae),Killdeer,Charadrius vociferus,,S,
Lapwings and Plovers (Charadriidae),Semipalmated Plover,Charadrius semipalmatus,,S,
Lapwings and Plovers (Charadriidae),Piping Plover,Charadrius melodus,,S,
Lapwings and Plovers (Charadriidae),Mountain Plover,Charadrius montanus,,S,
Lapwings and Plovers (Charadriidae),Snowy Plover,Charadrius nivosus,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Upland Sandpiper,Bartramia longicauda,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Whimbrel,Numenius phaeopus,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Eskimo Curlew,Numenius borealis,X,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Long-billed Curlew,Numenius americanus,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Hudsonian Godwit,Limosa haemastica,X,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Marbled Godwit,Limosa fedoa,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Ruddy Turnstone,Arenaria interpres,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Red Knot,Calidris canutus,X,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Ruff,Calidris pugnax,X,P,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Sharp-tailed Sandpiper,Calidris acuminata,X,P,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Stilt Sandpiper,Calidris himantopus,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Curlew Sandpiper,Calidris ferruginea,X,P,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Sanderling,Calidris alba,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Dunlin,Calidris alpina,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Purple Sandpiper,Calidris maritima,X,P,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Baird's Sandpiper,Calidris bairdii,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Least Sandpiper,Calidris minutilla,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),White-rumped Sandpiper,Calidris fuscicollis,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Buff-breasted Sandpiper,Calidris subruficollis,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Pectoral Sandpiper,Calidris melanotos,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Semipalmated Sandpiper,Calidris pusilla,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Western Sandpiper,Calidris mauri,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Short-billed Dowitcher,Limnodromus griseus,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Long-billed Dowitcher,Limnodromus scolopaceus,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),American Woodcock,Scolopax minor,X,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Wilson's Snipe,Gallinago delicata,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Spotted Sandpiper,Actitis macularius,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Solitary Sandpiper,Tringa solitaria,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Lesser Yellowlegs,Tringa flavipes,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Willet,Tringa semipalmata,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Greater Yellowlegs,Tringa melanoleuca,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Wilson's Phalarope,Phalaropus tricolor,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Red-necked Phalarope,Phalaropus lobatus,,S,
Sandpipers, Phalaropes, and Allies (Scolopacidae),Red Phalarope,Phalaropus fulicarius,,S,
Skuas and Jaegers (Stercorariidae),Pomarine Jaeger,Stercorarius pomarinus,X,S,
Skuas and Jaegers (Stercorariidae),Parasitic Jaeger,Stercorarius parasiticus,X,P,
Skuas and Jaegers (Stercorariidae),Long-tailed Jaeger,Stercorarius longicaudus,X,S,
Auks, Murres, and Puffins (Alcidae),Long-billed Murrelet,Brachyramphus perdix,X,S,
Auks, Murres, and Puffins (Alcidae),Ancient Murrelet,Synthliboramphus antiquus,X,S,
Gulls, Terns, and Skimmers (Laridae),Black-legged Kittiwake,Rissa tridactyla,,S,
Gulls, Terns, and Skimmers (Laridae),Ivory Gull,Pagophila eburnea,X,S,
Gulls, Terns, and Skimmers (Laridae),Sabine's Gull,Xema sabini,,S,
Gulls, Terns, and Skimmers (Laridae),Bonaparte's Gull,Chroicocephalus philadelphia,,S,
Gulls, Terns, and Skimmers (Laridae),Black-headed Gull,Chroicocephalus ridibundus,X,P,
Gulls, Terns, and Skimmers (Laridae),Little Gull,Hydrocoloeus minutus,X,P,
Gulls, Terns, and Skimmers (Laridae),Ross's Gull,Rhodostethia rosea,X,P,
Gulls, Terns, and Skimmers (Laridae),Laughing Gull,Leucophaeus atricilla,,P,
Gulls, Terns, and Skimmers (Laridae),Franklin's Gull,Leucophaeus pipixcan,,S,
Gulls, Terns, and Skimmers (Laridae),Short-billed Gull,Larus brachyrhynchus,,P,
Gulls, Terns, and Skimmers (Laridae),Ring-billed Gull,Larus delawarensis,,S,
Gulls, Terns, and Skimmers (Laridae),Western Gull,Larus occidentalis,X,P,
Gulls, Terns, and Skimmers (Laridae),California Gull,Larus californicus,,S,
Gulls, Terns, and Skimmers (Laridae),Herring Gull,Larus argentatus,,S,
Gulls, Terns, and Skimmers (Laridae),Iceland Gull,Larus glaucoides,,S,
Gulls, Terns, and Skimmers (Laridae),Lesser Black-backed Gull,Larus fuscus,,P,
Gulls, Terns, and Skimmers (Laridae),Slaty-backed Gull,Larus schistisagus,X,P,
Gulls, Terns, and Skimmers (Laridae),Glaucous-winged Gull,Larus glaucescens,X,P,
Gulls, Terns, and Skimmers (Laridae),Glaucous Gull,Larus hyperboreus,,S,
Gulls, Terns, and Skimmers (Laridae),Great Black-backed Gull,Larus marinus,,P,
Gulls, Terns, and Skimmers (Laridae),Kelp Gull,Larus dominicanus,X,P,
Gulls, Terns, and Skimmers (Laridae),Sooty Tern,Onychoprion fuscatus,X,P,
Gulls, Terns, and Skimmers (Laridae),Least Tern,Sternula antillarum,,S,
Gulls, Terns, and Skimmers (Laridae),Caspian Tern,Hydroprogne caspia,,P,
Gulls, Terns, and Skimmers (Laridae),Black Tern,Chlidonias niger,,S,
Gulls, Terns, and Skimmers (Laridae),Common Tern,Sterna hirundo,,S,
Gulls, Terns, and Skimmers (Laridae),Arctic Tern,Sterna paradisaea,X,S,
Gulls, Terns, and Skimmers (Laridae),Forster's Tern,Sterna forsteri,,S,
Gulls, Terns, and Skimmers (Laridae),Royal Tern,Thalasseus maximus,X,P,
Gulls, Terns, and Skimmers (Laridae),Sandwich Tern,Thalasseus sandvicensis,X,P,
Gulls, Terns, and Skimmers (Laridae),Black Skimmer,Rynchops niger,X,P,
Loons (Gaviidae),Red-throated Loon,Gavia stellata,,S,
Loons (Gaviidae),Arctic Loon,Gavia arctica,X,S,
Loons (Gaviidae),Pacific Loon,Gavia pacifica,,P,
Loons (Gaviidae),Common Loon,Gavia immer,,S,
Loons (Gaviidae),Yellow-billed Loon,Gavia adamsii,X,S,
Storks (Ciconiidae),Wood Stork,Mycteria americana,X,S,
Frigatebirds (Fregatidae),Magnificent Frigatebird,Fregata magnificens,X,P,
Boobies and Gannets (Sulidae),Brown Booby,Sula leucogaster,X,P,
Darters (Anhingidae),Anhinga,Anhinga anhinga,X,S,
Cormorants (Phalacrocoracidae),Double-crested Cormorant,Phalacrocorax auritus,,S,
Cormorants (Phalacrocoracidae),Neotropic Cormorant,Phalacrocorax brasilianus,,S,
Pelicans (Pelecanidae),American White Pelican,Pelecanus erythrorhynchos,,S,
Pelicans (Pelecanidae),Brown Pelican,Pelecanus occidentalis,X,S,
Bitterns, Herons, and Allies (Ardeidae),American Bittern,Botaurus lentiginosus,,S,
Bitterns, Herons, and Allies (Ardeidae),Least Bittern,Ixobrychus exilis,,S,
Bitterns, Herons, and Allies (Ardeidae),Great Blue Heron,Ardea herodias,,S,
Bitterns, Herons, and Allies (Ardeidae),Great Egret,Ardea alba,,S,
Bitterns, Herons, and Allies (Ardeidae),Snowy Egret,Egretta thula,,S,
Bitterns, Herons, and Allies (Ardeidae),Little Blue Heron,Egretta caerulea,,S,
Bitterns, Herons, and Allies (Ardeidae),Tricolored Heron,Egretta tricolor,X,S,
Bitterns, Herons, and Allies (Ardeidae),Reddish Egret,Egretta rufescens,X,S,
Bitterns, Herons, and Allies (Ardeidae),Western Cattle Egret,Bubulcus ibis,,P,
Bitterns, Herons, and Allies (Ardeidae),Green Heron,Butorides virescens,,P,
Bitterns, Herons, and Allies (Ardeidae),Black-crowned Night-Heron,Nycticorax nycticorax,,S,
Bitterns, Herons, and Allies (Ardeidae),Yellow-crowned Night-Heron,Nyctanassa violacea,,S,
Ibises and Spoonbills (Threskiornithidae),White Ibis,Eudocimus albus,X,P,
Ibises and Spoonbills (Threskiornithidae),Glossy Ibis,Plegadis falcinellus,,S,
Ibises and Spoonbills (Threskiornithidae),White-faced Ibis,Plegadis chihi,,S,
Ibises and Spoonbills (Threskiornithidae),Roseate Spoonbill,Platalea ajaja,X,S,
New World Vultures (Cathartidae),Black Vulture,Coragyps atratus,X,P,
New World Vultures (Cathartidae),Turkey Vulture,Cathartes aura,,S,
Ospreys (Pandionidae),Osprey,Pandion haliaetus,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),White-tailed Kite,Elanus leucurus,X,P,
Hawks, Kites, Eagles, and Allies (Accipitridae),Swallow-tailed Kite,Elanoides forficatus,X,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Golden Eagle,Aquila chrysaetos,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Northern Harrier,Circus cyaneus,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Sharp-shinned Hawk,Accipiter striatus,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Cooper's Hawk,Accipiter cooperii,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),American Goshawk,Accipiter atricapillus,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Bald Eagle,Haliaeetus leucocephalus,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Mississippi Kite,Ictinia mississippiensis,,P,
Hawks, Kites, Eagles, and Allies (Accipitridae),Common Black Hawk,Buteogallus anthracinus,X,P,
Hawks, Kites, Eagles, and Allies (Accipitridae),Harris's Hawk,Parabuteo unicinctus,X,P,
Hawks, Kites, Eagles, and Allies (Accipitridae),Variable Hawk,Geranoaetus polyosoma,X,P,
Hawks, Kites, Eagles, and Allies (Accipitridae),Red-shouldered Hawk,Buteo lineatus,X,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Broad-winged Hawk,Buteo platypterus,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Swainson's Hawk,Buteo swainsoni,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Zone-tailed Hawk,Buteo albonotatus,X,P,
Hawks, Kites, Eagles, and Allies (Accipitridae),Red-tailed Hawk,Buteo jamaicensis,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Rough-legged Hawk,Buteo lagopus,,S,
Hawks, Kites, Eagles, and Allies (Accipitridae),Ferruginous Hawk,Buteo regalis,,S,
Barn Owls (Tytonidae),Barn Owl,Tyto alba,,S,
Typical Owls (Strigidae),Flammulated Owl,Psiloscops flammeolus,,S,
Typical Owls (Strigidae),Western Screech-Owl,Megascops kennicottii,,S,
Typical Owls (Strigidae),Eastern Screech-Owl,Megascops asio,,S,
Typical Owls (Strigidae),Great Horned Owl,Bubo virginianus,,S,
Typical Owls (Strigidae),Snowy Owl,Bubo scandiacus,,S,
Typical Owls (Strigidae),Northern Pygmy-Owl,Glaucidium gnoma,,S,
Typical Owls (Strigidae),Burrowing Owl,Athene cunicularia,,S,
Typical Owls (Strigidae),Spotted Owl,Strix occidentalis,,S,
Typical Owls (Strigidae),Barred Owl,Strix varia,X,S,
Typical Owls (Strigidae),Long-eared Owl,Asio otus,,S,
Typical Owls (Strigidae),Short-eared Owl,Asio flammeus,,S,
Typical Owls (Strigidae),Boreal Owl,Aegolius funereus,,S,
Typical Owls (Strigidae),Northern Saw-whet Owl,Aegolius acadicus,,S,
Kingfishers (Alcedinidae),Belted Kingfisher,Megaceryle alcyon,,S,
Woodpeckers and Allies (Picidae),Lewis's Woodpecker,Melanerpes lewis,,S,
Woodpeckers and Allies (Picidae),Red-headed Woodpecker,Melanerpes erythrocephalus,,S,
Woodpeckers and Allies (Picidae),Acorn Woodpecker,Melanerpes formicivorus,X,P,
Woodpeckers and Allies (Picidae),Red-bellied Woodpecker,Melanerpes carolinus,,S,
Woodpeckers and Allies (Picidae),Williamson's Sapsucker,Sphyrapicus thyroideus,,S,
Woodpeckers and Allies (Picidae),Yellow-bellied Sapsucker,Sphyrapicus varius,,S,
Woodpeckers and Allies (Picidae),Red-naped Sapsucker,Sphyrapicus nuchalis,,P,
Woodpeckers and Allies (Picidae),Red-breasted Sapsucker,Sphyrapicus ruber,X,P,
Woodpeckers and Allies (Picidae),American Three-toed Woodpecker,Picoides dorsalis,,S,
Woodpeckers and Allies (Picidae),Downy Woodpecker,Picoides pubescens,,S,
Woodpeckers and Allies (Picidae),Ladder-backed Woodpecker,Picoides scalaris,,S,
Woodpeckers and Allies (Picidae),Hairy Woodpecker,Picoides villosus,,S,
Woodpeckers and Allies (Picidae),Northern Flicker,Colaptes auratus,,S,
Caracaras and Falcons (Falconidae),Crested Caracara,Caracara plancus,X,S,
Caracaras and Falcons (Falconidae),American Kestrel,Falco sparverius,,S,
Caracaras and Falcons (Falconidae),Merlin,Falco columbarius,,S,
Caracaras and Falcons (Falconidae),Gyrfalcon,Falco rusticolus,X,S,
Caracaras and Falcons (Falconidae),Peregrine Falcon,Falco peregrinus,,S,
Caracaras and Falcons (Falconidae),Prairie Falcon,Falco mexicanus,,S,
Tyrant Flycatchers (Tyrannidae),Dusky-capped Flycatcher,Myiarchus tuberculifer,X,S,
Tyrant Flycatchers (Tyrannidae),Ash-throated Flycatcher,Myiarchus cinerascens,,S,
Tyrant Flycatchers (Tyrannidae),Great Crested Flycatcher,Myiarchus crinitus,,S,
Tyrant Flycatchers (Tyrannidae),Brown-crested Flycatcher,Myiarchus tyrannulus,X,P,
Tyrant Flycatchers (Tyrannidae),Great Kiskadee,Pitangus sulphuratus,X,P,
Tyrant Flycatchers (Tyrannidae),Sulphur-bellied Flycatcher,Myiodynastes luteiventris,X,P,
Tyrant Flycatchers (Tyrannidae),Tropical Kingbird,Tyrannus melancholicus,X,P,
Tyrant Flycatchers (Tyrannidae),Couch's Kingbird,Tyrannus couchii,X,P,
Tyrant Flycatchers (Tyrannidae),Cassin's Kingbird,Tyrannus vociferans,,S,
Tyrant Flycatchers (Tyrannidae),Thick-billed Kingbird,Tyrannus crassirostris,X,P,
Tyrant Flycatchers (Tyrannidae),Western Kingbird,Tyrannus verticalis,,S,
Tyrant Flycatchers (Tyrannidae),Eastern Kingbird,Tyrannus tyrannus,,S,
Tyrant Flycatchers (Tyrannidae),Scissor-tailed Flycatcher,Tyrannus forficatus,,S,
Tyrant Flycatchers (Tyrannidae),Fork-tailed Flycatcher,Tyrannus savana,X,P,
Tyrant Flycatchers (Tyrannidae),Olive-sided Flycatcher,Contopus cooperi,,S,
Tyrant Flycatchers (Tyrannidae),Western Wood-Pewee,Contopus sordidulus,,S,
Tyrant Flycatchers (Tyrannidae),Eastern Wood-Pewee,Contopus virens,X,S,
Tyrant Flycatchers (Tyrannidae),Yellow-bellied Flycatcher,Empidonax flaviventris,X,P,
Tyrant Flycatchers (Tyrannidae),Acadian Flycatcher,Empidonax virescens,X,P,
Tyrant Flycatchers (Tyrannidae),Alder Flycatcher,Empidonax alnorum,,S,
Tyrant Flycatchers (Tyrannidae),Willow Flycatcher,Empidonax traillii,,S,
Tyrant Flycatchers (Tyrannidae),Least Flycatcher,Empidonax minimus,,S,
Tyrant Flycatchers (Tyrannidae),Hammond's Flycatcher,Empidonax hammondii,,S,
Tyrant Flycatchers (Tyrannidae),Gray Flycatcher,Empidonax wrightii,,S,
Tyrant Flycatchers (Tyrannidae),Dusky Flycatcher,Empidonax oberholseri,,S,
Tyrant Flycatchers (Tyrannidae),Western Flycatcher,Empidonax difficilis,,S,
Tyrant Flycatchers (Tyrannidae),Buff-breasted Flycatcher,Empidonax fulvifrons,X,D,
Tyrant Flycatchers (Tyrannidae),Black Phoebe,Sayornis nigricans,,P,
Tyrant Flycatchers (Tyrannidae),Eastern Phoebe,Sayornis phoebe,,S,
Tyrant Flycatchers (Tyrannidae),Say's Phoebe,Sayornis saya,,S,
Tyrant Flycatchers (Tyrannidae),Vermilion Flycatcher,Pyrocephalus rubinus,,S,
Vireos (Vireonidae),White-eyed Vireo,Vireo griseus,,P,
Vireos (Vireonidae),Bell's Vireo,Vireo bellii,,S,
Vireos (Vireonidae),Gray Vireo,Vireo vicinior,,S,
Vireos (Vireonidae),Yellow-throated Vireo,Vireo flavifrons,,P,
Vireos (Vireonidae),Cassin's Vireo,Vireo cassinii,,P,
Vireos (Vireonidae),Blue-headed Vireo,Vireo solitarius,,S,
Vireos (Vireonidae),Plumbeous Vireo,Vireo plumbeus,,S,
Vireos (Vireonidae),Philadelphia Vireo,Vireo philadelphicus,,S,
Vireos (Vireonidae),Warbling Vireo,Vireo gilvus,,S,
Vireos (Vireonidae),Red-eyed Vireo,Vireo olivaceus,,S,
Vireos (Vireonidae),Yellow-green Vireo,Vireo flavoviridis,X,P,
Shrikes (Laniidae),Loggerhead Shrike,Lanius ludovicianus,,S,
Shrikes (Laniidae),Northern Shrike,Lanius excubitor,,S,
Jays and Crows (Corvidae),Canada Jay,Perisoreus canadensis,,S,
Jays and Crows (Corvidae),Pinyon Jay,Gymnorhinus cyanocephalus,,S,
Jays and Crows (Corvidae),Steller's Jay,Cyanocitta stelleri,,S,
